HWT
timestamp,GHI,DHI,Aussentemperatur ,Solarthermie_Erzeugung,Bedarf_thermisch ,Strompreis,PV_Erzeugung,Bedarf_elektrisch
2019-04-01 07:40:00,124.666666666667,124,9.53333333333333,0,25201.8753809375,0.05711,910.645095070674,10774.0771564965
2019-04-01 07:45:00,131.5,130.75,9.725,0,25064.2921034241,0.056765,966.322254638753,10745.7191671107
2019-04-01 07:50:00,138.333333333333,137.5,9.91666666666667,0,24926.7088259106,0.05642,1021.94107385498,10827.117356477
2019-04-01 07:55:00,145.166666666667,144.25,10.1083333333333,0,24723.3978536536,0.056075,1077.48344325182,10908.5155458432
2019-04-01 08:00:00,152,151,10.3,0,24520.0868813966,0.05573,1141.94335076005,10989.9137352095
2019-04-01 08:05:00,171.083333333333,159,10.4,10.8404913019878,24303.0313720587,0.0553525,1435.57149177908,11065.3268577336
2019-04-01 08:10:00,190.166666666667,167,10.5,21.6809826039755,24085.9758627209,0.054975,1726.94538601787,11140.7399802578
2019-04-01 08:15:00,209.25,175,10.6,32.5214739059633,24025.3311552196,0.0545975,2015.41149766968,11216.153102782
2019-04-01 08:20:00,228.333333333333,183,10.7,43.361965207951,23964.6864477183,0.05422,2300.46670049023,11308.1294931658
2019-04-01 08:25:00,247.416666666667,191,10.8,54.2024565099388,23779.0244563633,0.0538425,2581.71370578474,11400.1058835495
2019-04-01 08:30:00,266.5,199,10.9,65.0429478119265,23593.3624650083,0.053465,2858.83523461033,11492.0822739333
2019-04-01 08:35:00,285.583333333333,207,11,75.8834391139143,23455.850791306,0.0530875,3131.57780214256,11463.9670046627
2019-04-01 08:40:00,304.666666666667,215,11.1,86.7239304159021,23318.3391176036,0.05271,3399.7407552702,11435.8517353921
2019-04-01 08:45:00,323.75,223,11.2,97.5644217178898,23080.318494254,0.0523325,3663.16849393196,11407.7364661214
2019-04-01 08:50:00,342.833333333333,231,11.3,108.404913019878,22842.2978709044,0.051955,3921.74473749354,11416.1863744732
2019-04-01 08:55:00,361.916666666667,239,11.4,119.245404321865,22769.0006223967,0.0515775,4175.38815502186,11424.6362828249
2019-04-01 09:00:00,381,247,11.5,130.085895623853,22695.7033738889,0.0512,4424.0489805518,11433.0861911766
2019-04-01 09:05:00,373.416666666667,248.583333333333,11.6416666666667,125.679060758259,22468.8710097928,0.050925,4266.66713194126,11173.6445260236
2019-04-01 09:10:00,365.833333333333,250.166666666667,11.7833333333333,121.272225892665,22242.0386456967,0.05065,4113.15724711495,10914.2028608706
2019-04-01 09:15:00,358.25,251.75,11.925,116.86539102707,22081.1890579675,0.050375,3963.53513885177,10654.7611957176
2019-04-01 09:20:00,350.666666666667,253.333333333333,12.0666666666667,112.458556161476,21920.3394702382,0.0501,3817.79598025933,10832.0773290185
2019-04-01 09:25:00,343.083333333333,254.916666666667,12.2083333333333,108.051721295882,21631.517013772,0.049825,3675.91386231677,11009.3934623193
2019-04-01 09:30:00,335.5,256.5,12.35,103.644886430288,21342.6945573058,0.04955,3537.84135130091,11186.7095956201
2019-04-01 09:35:00,327.916666666667,258.083333333333,12.4916666666667,99.2380515646937,21097.9205077066,0.049275,3403.50907704258,11103.3608579317
2019-04-01 09:40:00,320.333333333333,259.666666666667,12.6333333333333,94.8312166990995,20853.1464581074,0.049,3272.82537128912,11020.0121202433
2019-04-01 09:45:00,312.75,261.25,12.775,90.4243818335053,20564.9955253204,0.048725,3145.67596710719,10936.6633825549
2019-04-01 09:50:00,305.166666666667,262.833333333333,12.9166666666667,86.0175469679111,20276.8445925333,0.04845,3021.92379682532,10741.784184866
2019-04-01 09:55:00,297.583333333333,264.416666666667,13.0583333333333,81.6107121023169,20055.58077669,0.048175,2901.40889377217,10546.9049871771
2019-04-01 10:00:00,290,266,13.2,77.2038772367227,19834.3169608467,0.0479,2783.94841779999,10352.0257894882
2019-04-01 10:05:00,293.166666666667,268.5,13.2333333333333,79.5022486372231,19533.8230445205,0.04734,2826.08073938793,10192.9433389292
2019-04-01 10:10:00,296.333333333333,271,13.2666666666667,81.8006200377236,19233.3291281943,0.04678,2867.84811377249,10033.8608883702
2019-04-01 10:15:00,299.5,273.5,13.3,84.098991438224,18859.6917198859,0.04622,2909.19728786582,9874.77843781125
2019-04-01 10:20:00,302.666666666667,276,13.3333333333333,86.3973628387244,18486.0543115775,0.04566,2950.07352236356,9864.77016219773
2019-04-01 10:25:00,305.833333333333,278.5,13.3666666666667,88.6957342392248,18338.4649833729,0.0451,2990.42097899804,9854.76188658422
2019-04-01 10:30:00,309,281,13.4,90.9941056397253,18190.8756551682,0.04454,3030.1831718256,9844.7536109707
2019-04-01 10:35:00,312.166666666667,283.5,13.4333333333333,93.2924770402257,17882.9833131246,0.04398,3069.30349798435,9814.53718790917
2019-04-01 10:40:00,315.333333333333,286,13.4666666666667,95.5908484407261,17575.0909710811,0.04342,3107.72573107987,9784.32076484764
2019-04-01 10:45:00,318.5,288.5,13.5,97.8892198412265,17470.5270370122,0.04286,3145.39463789166,9754.10434178612
2019-04-01 10:50:00,321.666666666667,291,13.5333333333333,100.187591241727,17365.9631029433,0.0423,3182.25656869729,9727.59548624554
2019-04-01 10:55:00,324.833333333333,293.5,13.5666666666667,102.485962642227,17057.5894793349,0.04174,3218.26008280887,9701.08663070497
2019-04-01 11:00:00,328,296,13.6,104.784334042728,16749.2158557265,0.04118,3253.35656300913,9674.57777516439
2019-04-01 11:05:00,329,296.916666666667,13.7666666666667,106.009590339555,16634.9024938456,0.04041,3266.73404031328,9614.14647623905
2019-04-01 11:10:00,330,297.833333333333,13.9333333333333,107.234846636383,16520.5891319647,0.03964,3279.11279978959,9553.71517731371
2019-04-01 11:15:00,331,298.75,14.1,108.460102933211,16301.7872102915,0.03887,3290.46374962518,9493.28387838837
